Record,Accel. Opening Angle,Actual Forward && Reverse Linear Solenoid Current,Actual Gear Ratio,Actual Secondary Pressure,AT learning,ATF Temp.,ATF Temperature Lamp,Commanded Forward && Reverse Linear Solenoid Current,Control module voltage,D Range Signal,Diagnosis Lamp,Down Switch,Engine Speed,Front Wheel Speed,Front Wheel Speed (2),Lock Up Duty Ratio,Lock-Up ON/OFF Solenoid,Manual Mode Switch,N Range,P Range,Primary DOWN Duty,Primary Rev Speed,Primary UP Duty,R Range Signal,Secondary Actual Current,Secondary Rev Speed,Secondary Set Current,Shift step in Manu. Mode,Stop Light Switch,Transfer Duty Ratio,Turbine Revolution Speed,Up Switch
10,1.96,801.00,2.17,0.79,Completed,9.00,OFF,800.00,14.61,ON,OFF,OFF,1041.00,328.00,328.00,0.00,OFF,OFF,OFF,OFF,0.00,952.00,41.20,OFF,746.00,403.00,739.00,0.00,OFF,24.00,928.00,OFF
11,3.14,766.00,2.18,1.04,Completed,9.00,OFF,765.00,14.67,ON,OFF,OFF,1332.00,446.00,446.00,0.00,OFF,OFF,OFF,OFF,0.00,1224.00,59.20,OFF,701.00,516.00,699.00,0.00,OFF,24.00,1216.00,OFF
12,5.10,801.00,1.46,0.94,Completed,9.00,OFF,800.00,14.69,ON,OFF,OFF,1568.00,679.00,679.00,0.00,OFF,OFF,OFF,OFF,0.00,1215.00,59.20,OFF,720.00,798.00,718.00,0.00,OFF,24.00,1344.00,OFF
13,3.92,838.00,1.06,0.77,Completed,9.00,OFF,837.00,14.60,ON,OFF,OFF,1544.00,851.00,851.00,0.00,OFF,OFF,OFF,OFF,0.00,1109.00,59.20,OFF,732.00,1079.00,729.00,0.00,OFF,24.50,1312.00,OFF
14,0.00,840.00,0.93,0.67,Completed,9.00,OFF,839.00,14.62,ON,OFF,OFF,1118.00,899.00,899.00,0.00,OFF,OFF,OFF,OFF,0.00,1093.00,37.60,OFF,754.00,1172.00,754.00,0.00,OFF,24.00,1216.00,OFF
15,5.49,838.00,0.96,0.68,Completed,9.00,OFF,839.00,14.72,ON,OFF,OFF,1072.00,914.00,914.00,0.00,OFF,OFF,OFF,OFF,0.00,1110.00,59.60,OFF,759.00,1193.00,755.00,0.00,OFF,24.00,1280.00,OFF
16,0.00,838.00,0.93,0.65,Completed,9.00,OFF,838.00,14.64,ON,OFF,OFF,1095.00,873.00,873.00,0.00,OFF,OFF,OFF,OFF,35.60,1107.00,0.00,OFF,761.00,1171.00,758.00,0.00,OFF,24.00,1216.00,OFF
17,3.53,819.00,1.00,0.64,Completed,9.00,OFF,819.00,14.70,ON,OFF,OFF,1071.00,891.00,891.00,0.00,OFF,OFF,OFF,OFF,0.00,1137.00,50.80,OFF,769.00,1134.00,764.00,0.00,OFF,24.50,1312.00,OFF
18,4.71,834.00,0.89,0.63,Completed,9.00,OFF,836.00,14.66,ON,OFF,OFF,1575.00,944.00,944.00,0.00,OFF,OFF,OFF,OFF,35.20,1128.00,0.00,OFF,765.00,1243.00,760.00,0.00,OFF,24.00,1280.00,OFF
19,3.53,836.00,0.87,0.59,Completed,9.00,OFF,836.00,14.70,ON,OFF,OFF,1428.00,976.00,976.00,0.00,OFF,OFF,OFF,OFF,0.00,1108.00,36.80,OFF,773.00,1279.00,768.00,0.00,OFF,24.00,1248.00,OFF
20,0.78,840.00,0.89,0.63,Completed,9.00,OFF,840.00,14.70,ON,OFF,OFF,1155.00,920.00,920.00,0.00,OFF,OFF,OFF,OFF,0.00,1084.00,0.00,OFF,762.00,1244.00,763.00,0.00,OFF,24.00,1216.00,OFF
21,1.18,840.00,0.92,0.63,Completed,9.00,OFF,839.00,14.67,ON,OFF,OFF,1391.00,905.00,905.00,0.00,OFF,OFF,OFF,OFF,0.00,1105.00,41.60,OFF,766.00,1206.00,761.00,0.00,OFF,24.00,1216.00,OFF
22,0.00,836.00,0.99,0.65,Completed,9.00,OFF,837.00,14.64,ON,OFF,OFF,1151.00,824.00,824.00,0.00,OFF,OFF,OFF,OFF,35.60,1094.00,0.00,OFF,760.00,1132.00,757.00,0.00,ON,24.00,1216.00,OFF
23,0.00,813.00,1.59,1.17,Completed,9.00,OFF,815.00,14.67,ON,OFF,OFF,1038.00,334.00,334.00,0.00,OFF,OFF,OFF,OFF,58.40,848.00,0.00,OFF,684.00,681.00,678.00,0.00,OFF,24.50,1120.00,OFF
24,7.84,710.00,2.27,1.59,Completed,9.00,OFF,718.00,14.66,ON,OFF,OFF,1440.00,437.00,437.00,0.00,OFF,OFF,OFF,OFF,0.00,1278.00,50.80,OFF,639.00,477.00,649.00,0.00,OFF,24.50,1152.00,OFF
25,12.55,755.00,1.58,1.62,Completed,9.00,OFF,756.00,14.65,ON,OFF,OFF,1821.00,676.00,676.00,0.00,OFF,OFF,OFF,OFF,0.00,1312.00,55.20,OFF,642.00,778.00,646.00,0.00,OFF,32.50,1408.00,OFF
26,17.25,759.00,1.18,1.80,Completed,9.00,OFF,756.00,14.68,ON,OFF,OFF,2135.00,970.00,970.00,0.00,OFF,OFF,OFF,OFF,0.00,1426.00,51.20,OFF,622.00,1167.00,629.00,0.00,OFF,37.00,1600.00,OFF
27,9.41,845.00,0.82,0.80,Completed,9.00,OFF,842.00,14.71,ON,OFF,OFF,1889.00,986.00,986.00,0.00,OFF,OFF,OFF,OFF,37.60,1057.00,0.00,OFF,746.00,1363.00,744.00,0.00,OFF,24.00,1344.00,OFF
28,2.75,783.00,1.05,0.88,Completed,9.00,OFF,785.00,14.68,ON,OFF,OFF,1134.00,935.00,935.00,0.00,OFF,OFF,OFF,OFF,0.00,1329.00,34.40,OFF,727.00,1196.00,724.00,0.00,OFF,28.00,1248.00,OFF
29,13.73,794.00,0.98,1.15,Completed,9.00,OFF,793.00,14.63,ON,OFF,OFF,1963.00,1043.00,1043.00,0.00,OFF,OFF,OFF,OFF,0.00,1311.00,44.80,OFF,694.00,1335.00,692.00,0.00,OFF,28.50,1472.00,OFF
30,13.33,836.00,0.83,0.93,Completed,9.00,OFF,832.00,14.68,ON,OFF,OFF,2025.00,1082.00,1082.00,0.00,OFF,OFF,OFF,OFF,0.00,1143.00,55.60,OFF,739.00,1443.00,735.00,0.00,OFF,24.50,1472.00,OFF
31,9.02,822.00,0.81,0.64,Completed,9.00,OFF,824.00,14.72,ON,OFF,OFF,1630.00,1098.00,1098.00,0.00,OFF,OFF,OFF,OFF,34.80,1169.00,35.60,OFF,761.00,1440.00,759.00,0.00,OFF,24.00,1312.00,OFF
32,8.24,840.00,0.78,0.61,Completed,9.00,OFF,837.00,14.68,ON,OFF,OFF,1638.00,1121.00,1121.00,0.00,OFF,OFF,OFF,OFF,0.00,1161.00,0.00,OFF,768.00,1483.00,767.00,0.00,OFF,24.00,1312.00,OFF
33,0.00,840.00,0.84,0.76,Completed,9.00,OFF,840.00,14.67,ON,OFF,OFF,1155.00,873.00,873.00,0.00,OFF,OFF,OFF,OFF,44.40,1069.00,0.00,OFF,740.00,1347.00,738.00,0.00,ON,24.50,1248.00,OFF
34,0.00,813.00,1.64,0.98,Completed,9.00,OFF,816.00,14.63,ON,OFF,OFF,1044.00,452.00,452.00,0.00,OFF,OFF,OFF,OFF,42.40,1100.00,0.00,OFF,723.00,662.00,716.00,0.00,OFF,24.50,1056.00,OFF
35,7.06,752.00,1.84,1.56,Completed,9.00,OFF,755.00,14.66,ON,OFF,OFF,1586.00,561.00,561.00,0.00,OFF,OFF,OFF,OFF,0.00,1254.00,58.80,OFF,639.00,649.00,635.00,0.00,OFF,24.50,1344.00,OFF
36,14.12,761.00,1.39,1.72,Completed,9.00,OFF,760.00,14.71,ON,OFF,OFF,1984.00,791.00,791.00,0.00,OFF,OFF,OFF,OFF,0.00,1327.00,59.60,OFF,626.00,930.00,624.00,0.00,OFF,36.00,1536.00,OFF
37,12.55,783.00,1.11,1.24,Completed,9.00,OFF,783.00,14.62,ON,OFF,OFF,1894.00,933.00,933.00,0.00,OFF,OFF,OFF,OFF,0.00,1319.00,44.40,OFF,672.00,1169.00,672.00,0.00,OFF,29.00,1440.00,OFF
38,11.37,843.00,0.88,0.81,Completed,9.00,OFF,841.00,14.68,ON,OFF,OFF,1968.00,969.00,969.00,0.00,OFF,OFF,OFF,OFF,0.00,1076.00,46.00,OFF,744.00,1321.00,739.00,0.00,ON,24.00,1408.00,OFF
39,0.00,829.00,1.21,1.01,Completed,9.00,OFF,829.00,14.66,ON,OFF,OFF,1121.00,575.00,575.00,0.00,OFF,OFF,OFF,OFF,44.00,1037.00,0.00,OFF,703.00,925.00,702.00,0.00,ON,24.00,1184.00,OFF
40,0.00,752.00,2.25,1.08,Completed,10.00,OFF,763.00,14.72,ON,OFF,OFF,995.00,355.00,355.00,0.00,OFF,OFF,OFF,OFF,0.00,1054.00,37.20,OFF,716.00,379.00,711.00,0.00,OFF,24.00,960.00,OFF
41,12.16,690.00,1.64,1.70,Completed,10.00,OFF,700.00,14.67,ON,OFF,OFF,1780.00,737.00,737.00,0.00,OFF,OFF,OFF,OFF,0.00,1486.00,39.60,OFF,626.00,752.00,622.00,0.00,OFF,25.00,1440.00,OFF
42,15.29,813.00,0.92,1.50,Completed,10.00,OFF,812.00,14.70,ON,OFF,OFF,2157.00,1049.00,1049.00,0.00,OFF,OFF,OFF,OFF,0.00,1197.00,51.60,OFF,663.00,1344.00,649.00,0.00,OFF,28.50,1536.00,OFF
43,15.69,796.00,0.84,1.30,Completed,10.00,OFF,796.00,14.67,ON,OFF,OFF,2021.00,1236.00,1236.00,0.00,OFF,OFF,OFF,OFF,0.00,1362.00,34.80,OFF,680.00,1556.00,685.00,0.00,OFF,29.00,1536.00,OFF
44,0.00,845.00,0.73,0.65,Completed,10.00,OFF,845.00,14.65,ON,OFF,OFF,1359.00,1196.00,1196.00,0.00,OFF,OFF,OFF,OFF,36.40,1190.00,0.00,OFF,760.00,1622.00,767.00,0.00,OFF,24.00,1344.00,OFF
45,9.80,810.00,0.76,0.83,Completed,10.00,OFF,811.00,14.63,ON,OFF,OFF,1745.00,1283.00,1283.00,0.00,OFF,OFF,OFF,OFF,0.00,1281.00,54.40,OFF,730.00,1641.00,728.00,0.00,OFF,24.50,1344.00,OFF
46,12.16,829.00,0.69,0.68,Completed,10.00,OFF,829.00,14.66,ON,OFF,OFF,1986.00,1386.00,1386.00,35.50,ON,OFF,OFF,OFF,35.20,1257.00,43.20,OFF,764.00,1810.00,760.00,0.00,OFF,24.50,1440.00,OFF
47,0.00,827.00,0.66,0.63,Completed,10.00,OFF,833.00,14.61,ON,OFF,OFF,1623.00,1430.00,1430.00,0.00,ON,OFF,OFF,OFF,37.20,1262.00,0.00,OFF,769.00,1868.00,764.00,0.00,OFF,24.50,1344.00,OFF
48,15.69,738.00,0.70,0.86,Completed,10.00,OFF,742.00,14.63,ON,OFF,OFF,2080.00,1618.00,1618.00,41.00,ON,OFF,OFF,OFF,41.60,1664.00,0.00,OFF,724.00,2016.00,721.00,0.00,OFF,25.50,1568.00,OFF
49,32.16,766.00,0.66,2.15,Completed,10.00,OFF,766.00,14.55,ON,OFF,OFF,2088.00,2022.00,2022.00,67.00,ON,OFF,OFF,OFF,0.00,1702.00,41.60,OFF,568.00,2520.00,572.00,0.00,OFF,37.00,1856.00,OFF
50,36.47,783.00,0.59,2.13,Completed,10.00,OFF,783.00,14.56,ON,OFF,OFF,1955.00,2301.00,2301.00,99.00,ON,OFF,OFF,OFF,0.00,1767.00,0.00,OFF,581.00,2946.00,577.00,0.00,OFF,35.50,1952.00,OFF
51,31.76,822.00,0.53,1.70,Completed,10.00,OFF,807.00,14.60,ON,OFF,OFF,1980.00,2488.00,2488.00,99.00,ON,OFF,OFF,OFF,0.00,1698.00,38.80,OFF,626.00,3246.00,620.00,0.00,OFF,32.50,1952.00,OFF
52,0.00,856.00,0.43,0.72,Completed,11.00,OFF,856.00,14.59,ON,OFF,OFF,1597.00,2068.00,2068.00,99.00,ON,OFF,OFF,OFF,39.60,1194.00,0.00,OFF,716.00,2979.00,709.00,0.00,OFF,17.00,1472.00,OFF
53,30.98,759.00,0.63,2.13,Completed,11.00,OFF,762.00,14.57,ON,OFF,OFF,1874.00,2238.00,2238.00,99.00,ON,OFF,OFF,OFF,0.00,1842.00,40.80,OFF,571.00,2820.00,575.00,0.00,OFF,35.00,1952.00,OFF
54,51.76,782.00,0.56,2.34,Completed,11.00,OFF,782.00,14.62,ON,OFF,OFF,2087.00,2599.00,2599.00,99.00,ON,OFF,OFF,OFF,0.00,1849.00,40.80,OFF,558.00,3296.00,561.00,0.00,OFF,37.00,2080.00,OFF
55,18.82,792.00,0.52,1.80,Completed,11.00,OFF,794.00,14.61,ON,OFF,OFF,1958.00,2784.00,2784.00,99.00,ON,OFF,OFF,OFF,0.00,1849.00,43.60,OFF,611.00,3585.00,599.00,0.00,OFF,27.00,1824.00,OFF
56,36.47,794.00,0.48,1.75,Completed,11.00,OFF,795.00,14.59,ON,OFF,OFF,2087.00,2971.00,2971.00,99.00,ON,OFF,OFF,OFF,36.40,1913.00,0.00,OFF,622.00,3856.00,618.00,0.00,OFF,31.00,2080.00,OFF
57,11.37,852.00,0.40,0.74,Completed,11.00,OFF,852.00,14.60,ON,OFF,OFF,2036.00,3018.00,3018.00,99.00,ON,OFF,OFF,OFF,0.00,1558.00,55.20,OFF,750.00,4001.00,748.00,0.00,OFF,25.00,1920.00,OFF
58,0.00,841.00,0.39,0.65,Completed,11.00,OFF,842.00,14.59,ON,OFF,OFF,1748.00,2990.00,2990.00,99.00,ON,OFF,OFF,OFF,36.40,1603.00,0.00,OFF,759.00,3963.00,756.00,0.00,OFF,24.50,1728.00,OFF
59,0.00,836.00,0.42,0.70,Completed,12.00,OFF,837.00,14.55,ON,OFF,OFF,1867.00,2996.00,2996.00,99.00,ON,OFF,OFF,OFF,36.00,1684.00,0.00,OFF,753.00,3948.00,749.00,0.00,OFF,25.00,1888.00,OFF
60,0.00,836.00,0.43,0.70,Completed,12.00,OFF,838.00,14.58,ON,OFF,OFF,1915.00,3004.00,3004.00,99.00,ON,OFF,OFF,OFF,0.00,1693.00,36.80,OFF,751.00,3971.00,749.00,0.00,OFF,25.00,1888.00,OFF
61,0.00,840.00,0.41,0.67,Completed,12.00,OFF,840.00,14.57,ON,OFF,OFF,1882.00,3019.00,3019.00,99.00,ON,OFF,OFF,OFF,0.00,1654.00,35.20,OFF,754.00,3996.00,753.00,0.00,ON,25.00,1856.00,OFF
62,0.00,856.00,0.39,0.65,Completed,12.00,OFF,856.00,14.60,ON,OFF,OFF,1650.00,2710.00,2710.00,99.00,ON,OFF,OFF,OFF,35.20,1404.00,0.00,OFF,761.00,3677.00,756.00,0.00,OFF,25.00,1600.00,OFF
63,0.00,857.00,0.39,0.61,Completed,12.00,OFF,857.00,14.62,ON,OFF,OFF,1530.00,2498.00,2498.00,99.00,ON,OFF,OFF,OFF,0.00,1295.00,0.00,OFF,761.00,3419.00,761.00,0.00,ON,25.00,1504.00,OFF
64,0.00,792.00,0.61,1.44,Completed,12.00,OFF,795.00,14.59,ON,OFF,OFF,1355.00,1696.00,1696.00,99.00,ON,OFF,OFF,OFF,0.00,1405.00,40.00,OFF,660.00,2496.00,655.00,0.00,OFF,17.50,1376.00,OFF
65,18.43,776.00,0.71,1.69,Completed,12.00,OFF,779.00,14.59,ON,OFF,OFF,1586.00,1830.00,1830.00,99.00,ON,OFF,OFF,OFF,0.00,1686.00,42.40,OFF,631.00,2293.00,624.00,0.00,OFF,30.50,1760.00,OFF
66,35.69,776.00,0.63,2.01,Completed,12.00,OFF,775.00,14.61,ON,OFF,OFF,1946.00,2136.00,2136.00,99.00,ON,OFF,OFF,OFF,0.00,1752.00,37.60,OFF,591.00,2688.00,575.00,0.00,OFF,36.50,1952.00,OFF
67,0.00,854.00,0.50,0.93,Completed,12.00,OFF,852.00,14.60,ON,OFF,OFF,1942.00,2172.00,2172.00,99.00,ON,OFF,OFF,OFF,0.00,1383.00,45.20,OFF,719.00,2948.00,718.00,0.00,OFF,25.00,1760.00,OFF
68,0.00,854.00,0.45,0.66,Completed,12.00,OFF,855.00,14.58,ON,OFF,OFF,1365.00,1947.00,1947.00,99.00,ON,OFF,OFF,OFF,37.60,1234.00,0.00,OFF,753.00,2682.00,752.00,0.00,OFF,25.00,1376.00,OFF
69,7.06,845.00,0.50,0.60,Completed,12.00,OFF,853.00,14.58,ON,OFF,OFF,1410.00,1844.00,1844.00,99.00,ON,OFF,OFF,OFF,0.00,1231.00,39.20,OFF,759.00,2451.00,757.00,0.00,OFF,25.00,1376.00,OFF
70,18.82,852.00,0.58,0.87,Completed,13.00,OFF,836.00,14.58,ON,OFF,OFF,1740.00,1941.00,1941.00,99.00,ON,OFF,OFF,OFF,0.00,1434.00,43.60,OFF,726.00,2543.00,722.00,0.00,OFF,27.00,1696.00,OFF
71,0.00,852.00,0.50,0.62,Completed,13.00,OFF,853.00,14.61,ON,OFF,OFF,1359.00,1666.00,1666.00,99.00,ON,OFF,OFF,OFF,40.40,1188.00,0.00,OFF,760.00,2449.00,757.00,0.00,ON,17.50,1376.00,OFF
72,0.00,843.00,0.76,0.73,Completed,13.00,OFF,843.00,14.54,ON,OFF,OFF,1326.00,999.00,999.00,99.00,ON,OFF,OFF,OFF,46.40,1089.00,0.00,OFF,737.00,1614.00,734.00,0.00,ON,25.00,1312.00,OFF
73,0.00,822.00,1.29,1.05,Completed,13.00,OFF,824.00,14.58,ON,OFF,OFF,1193.00,448.00,448.00,69.00,ON,OFF,OFF,OFF,60.40,954.00,0.00,OFF,699.00,886.00,696.00,0.00,OFF,25.50,1216.00,OFF
74,19.22,722.00,1.73,2.84,Completed,13.00,OFF,717.00,14.64,ON,OFF,OFF,2073.00,760.00,760.00,35.00,ON,OFF,OFF,OFF,0.00,1481.00,62.00,OFF,517.00,758.00,514.00,0.00,OFF,34.00,1696.00,OFF
75,29.41,710.00,0.96,3.13,Completed,13.00,OFF,711.00,14.64,ON,OFF,OFF,2485.00,1421.00,1421.00,52.50,ON,OFF,OFF,OFF,0.00,1657.00,55.20,OFF,475.00,1588.00,463.00,0.00,OFF,49.50,1792.00,OFF
76,42.35,757.00,0.71,2.53,Completed,14.00,OFF,755.00,14.58,ON,OFF,OFF,1919.00,1931.00,1931.00,99.00,ON,OFF,OFF,OFF,0.00,1729.00,40.00,OFF,521.00,2344.00,513.00,0.00,OFF,41.50,1920.00,OFF
77,45.10,768.00,0.61,2.30,Completed,14.00,OFF,769.00,14.61,ON,OFF,OFF,1987.00,2293.00,2293.00,99.00,ON,OFF,OFF,OFF,0.00,1818.00,35.20,OFF,558.00,2868.00,550.00,0.00,OFF,37.50,1984.00,OFF
78,52.16,771.00,0.55,2.37,Completed,14.00,OFF,773.00,14.61,ON,OFF,OFF,2092.00,2628.00,2628.00,99.00,ON,OFF,OFF,OFF,0.00,1883.00,37.20,OFF,548.00,3319.00,538.00,0.00,OFF,37.50,2080.00,OFF
79,0.00,857.00,0.42,1.13,Completed,14.00,OFF,856.00,14.60,ON,OFF,OFF,2068.00,2675.00,2675.00,99.00,ON,ON,OFF,OFF,0.00,1460.00,40.00,OFF,711.00,3597.00,708.00,0.00,OFF,25.50,1824.00,OFF
80,0.00,806.00,0.45,1.32,Completed,14.00,OFF,808.00,14.59,ON,OFF,OFF,1521.00,2594.00,2594.00,99.00,ON,ON,OFF,OFF,0.00,1683.00,36.40,OFF,659.00,3456.00,654.00,6.00,OFF,25.50,1504.00,OFF
81,0.00,834.00,0.40,0.97,Completed,14.00,OFF,835.00,14.59,ON,OFF,OFF,1868.00,2611.00,2611.00,99.00,ON,ON,OFF,OFF,0.00,1354.00,41.20,OFF,707.00,3453.00,716.00,7.00,OFF,25.50,1792.00,OFF
82,0.00,812.00,0.61,1.40,Completed,15.00,OFF,800.00,14.58,ON,OFF,OFF,1895.00,2655.00,2655.00,99.00,ON,ON,OFF,OFF,0.00,2149.00,0.00,OFF,657.00,3487.00,644.00,5.00,OFF,26.00,2432.00,OFF
83,0.00,852.00,0.46,0.99,Completed,15.00,OFF,851.00,14.54,ON,OFF,OFF,2462.00,2691.00,2691.00,99.00,ON,ON,OFF,OFF,0.00,1414.00,70.40,OFF,708.00,3568.00,707.00,7.00,OFF,25.50,2048.00,OFF
84,0.00,836.00,0.39,0.69,Completed,15.00,OFF,837.00,14.53,ON,OFF,OFF,1521.00,2623.00,2623.00,99.00,ON,OFF,OFF,OFF,37.20,1443.00,0.00,OFF,746.00,3482.00,746.00,0.00,OFF,26.00,1504.00,OFF
85,0.00,826.00,0.45,0.88,Completed,15.00,OFF,826.00,14.61,ON,OFF,OFF,1715.00,2606.00,2606.00,99.00,ON,OFF,OFF,OFF,0.00,1567.00,0.00,OFF,725.00,3457.00,720.00,0.00,OFF,26.00,1728.00,OFF
86,0.00,822.00,0.46,1.03,Completed,15.00,OFF,823.00,14.59,ON,OFF,OFF,1807.00,2648.00,2648.00,99.00,ON,OFF,OFF,OFF,0.00,1619.00,36.00,OFF,700.00,3460.00,698.00,0.00,OFF,26.00,1792.00,OFF
87,0.00,833.00,0.45,0.84,Completed,15.00,OFF,833.00,14.57,ON,OFF,OFF,1821.00,2668.00,2668.00,99.00,ON,OFF,OFF,OFF,0.00,1568.00,38.80,OFF,732.00,3524.00,728.00,0.00,OFF,26.00,1792.00,OFF
88,0.00,834.00,0.44,0.71,Completed,15.00,OFF,834.00,14.59,ON,OFF,OFF,1753.00,2668.00,2668.00,99.00,ON,OFF,OFF,OFF,36.40,1540.00,39.20,OFF,748.00,3538.00,745.00,0.00,OFF,26.00,1728.00,OFF
89,0.00,838.00,0.44,0.64,Completed,16.00,OFF,839.00,14.64,ON,OFF,OFF,1748.00,2663.00,2663.00,99.00,ON,OFF,OFF,OFF,36.00,1541.00,39.20,OFF,764.00,3534.00,760.00,0.00,OFF,26.00,1728.00,OFF
90,0.00,847.00,0.41,0.63,Completed,16.00,OFF,845.00,14.60,ON,OFF,OFF,1740.00,2690.00,2690.00,99.00,ON,OFF,OFF,OFF,0.00,1422.00,60.80,OFF,762.00,3564.00,759.00,0.00,OFF,26.00,1664.00,OFF
91,0.00,845.00,0.39,0.60,Completed,16.00,OFF,847.00,14.58,ON,OFF,OFF,1551.00,2678.00,2678.00,99.00,ON,OFF,OFF,OFF,0.00,1375.00,36.40,OFF,761.00,3555.00,759.00,0.00,OFF,26.00,1536.00,OFF
92,0.00,845.00,0.39,0.61,Completed,16.00,OFF,846.00,14.55,ON,OFF,OFF,1554.00,2670.00,2670.00,99.00,ON,OFF,OFF,OFF,36.40,1371.00,38.40,OFF,762.00,3531.00,760.00,0.00,OFF,26.00,1536.00,OFF
93,0.00,843.00,0.39,0.60,Completed,16.00,OFF,844.00,14.60,ON,OFF,OFF,1550.00,2651.00,2651.00,99.00,ON,OFF,OFF,OFF,37.20,1396.00,40.80,OFF,759.00,3525.00,759.00,0.00,OFF,26.00,1536.00,OFF
94,0.00,841.00,0.40,0.63,Completed,16.00,OFF,842.00,14.61,ON,OFF,OFF,1610.00,2652.00,2652.00,99.00,ON,OFF,OFF,OFF,36.40,1417.00,38.80,OFF,760.00,3521.00,758.00,0.00,OFF,26.50,1600.00,OFF
95,0.00,857.00,0.41,0.62,Completed,16.00,OFF,856.00,14.62,ON,OFF,OFF,1670.00,2466.00,2466.00,99.00,ON,OFF,OFF,OFF,0.00,1320.00,40.40,OFF,759.00,3446.00,759.00,0.00,ON,26.50,1664.00,OFF
96,0.00,843.00,0.40,0.60,Completed,16.00,OFF,844.00,14.59,ON,OFF,OFF,1383.00,2342.00,2342.00,99.00,ON,OFF,OFF,OFF,40.40,1281.00,0.00,OFF,765.00,3112.00,760.00,0.00,OFF,26.50,1344.00,OFF
97,20.00,856.00,0.46,0.67,Completed,16.00,OFF,856.00,14.57,ON,OFF,OFF,1523.00,2366.00,2366.00,99.00,ON,OFF,OFF,OFF,0.00,1334.00,57.20,OFF,759.00,3136.00,754.00,0.00,ON,26.50,1760.00,OFF
98,23.92,785.00,0.58,1.44,Completed,16.00,OFF,786.00,14.61,ON,OFF,OFF,1363.00,2346.00,2346.00,99.00,ON,OFF,OFF,OFF,0.00,1762.00,43.60,OFF,637.00,3035.00,624.00,0.00,OFF,28.50,1504.00,OFF
99,33.33,794.00,0.54,1.73,Completed,17.00,OFF,793.00,14.59,ON,OFF,OFF,1988.00,2542.00,2542.00,99.00,ON,OFF,OFF,OFF,0.00,1791.00,36.80,OFF,612.00,3291.00,607.00,0.00,OFF,33.50,1984.00,OFF
